rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Under 25K,46.0,12,40.0,Female,High school,Very dissatisfied,Very important,40-49
Over 25K,33.0,16,45.0,Male,Bachelor,Very satisfied,Very important,30-39
Under 25K,33.0,14,80.0,Female,Junior college,Very satisfied,Very important,30-39
Under 25K,45.0,12,40.0,Female,High school,Mod satisfied,Very important,40-49
Under 25K,24.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,18-29
Over 25K,45.0,12,44.0,Male,High school,A little dissatisfied,Very important,40-49
Over 25K,46.0,12,50.0,Female,High school,A little dissatisfied,Somewhat important,40-49
Over 25K,41.0,20,60.0,Female,Graduate,A little dissatisfied,Very important,40-49
Over 25K,37.0,18,56.0,Male,Graduate,Mod satisfied,Very important,30-39
Under 25K,36.0,14,41.0,Female,Junior college,Very satisfied,Very important,30-39
Over 25K,39.0,16,40.0,Female,Bachelor,Mod satisfied,Very important,30-39
Over 25K,44.0,14,40.0,Male,Junior college,Mod satisfied,Very important,40-49
Over 25K,35.0,19,45.0,Female,Graduate,Very satisfied,Very important,30-39
Over 25K,26.0,13,52.0,Male,High school,Mod satisfied,Somewhat important,18-29
Under 25K,48.0,12,42.0,Female,High school,Very satisfied,One of most important,40-49
Under 25K,26.0,12,30.0,Male,High school,Very satisfied,Very important,18-29
Over 25K,36.0,12,44.0,Male,High school,A little dissatisfied,Not too important,30-39
Over 25K,43.0,12,46.0,Male,High school,Very satisfied,Very important,40-49
Over 25K,41.0,16,40.0,Female,Bachelor,Mod satisfied,Very important,40-49
Over 25K,47.0,18,65.0,Male,Graduate,Very dissatisfied,Somewhat important,40-49
Over 25K,49.0,13,40.0,Male,High school,Mod satisfied,Very important,40-49
Over 25K,58.0,12,55.0,Male,High school,Very satisfied,Very important,50+
Under 25K,19.0,12,40.0,Female,High school,Very satisfied,One of most important,18-29
Under 25K,35.0,12,49.0,Male,High school,Very satisfied,Very important,30-39
Over 25K,42.0,15,40.0,Male,Junior college,A little dissatisfied,Somewhat important,40-49
Over 25K,54.0,12,40.0,Female,High school,Very satisfied,One of most important,50+
Over 25K,33.0,16,40.0,Female,Bachelor,Very satisfied,Very important,30-39
Under 25K,26.0,12,65.0,Male,High school,Mod satisfied,Very important,18-29
Over 25K,34.0,17,50.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 25K,43.0,11,42.0,Male,Less than HS,Very satisfied,Very important,40-49
Over 25K,65.0,14,40.0,Male,Junior college,Mod satisfied,Very important,50+
Under 25K,22.0,15,30.0,Female,High school,Mod satisfied,One of most important,18-29
Over 25K,33.0,12,50.0,Male,High school,Mod satisfied,Very important,30-39
Over 25K,40.0,12,55.0,Male,Less than HS,Mod satisfied,Very important,40-49
Under 25K,25.0,16,48.0,Male,Bachelor,Mod satisfied,Very important,18-29
Under 25K,51.0,12,55.0,Male,High school,Very satisfied,One of most important,50+
Over 25K,40.0,12,40.0,Female,High school,Very satisfied,One of most important,40-49
