rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Under 25K,38.28369566606095,12,40.0,Male,High school,Mod satisfied,One of most important,30-39
Under 25K,25.49862771756309,17,43.75343070609228,Male,High school,Very satisfied,Very important,18-29
Under 25K,43.0,16,39.568677325138125,Female,High school,Very satisfied,Very important,40-49
Under 25K,24.30018891603341,16,41.62523614504176,Female,Bachelor,Very satisfied,Very important,18-29
Under 25K,43.84629829410906,12,49.92314914705453,Female,High school,Mod satisfied,Very important,40-49
Under 25K,25.902822173872003,16,45.0,Female,Bachelor,Very satisfied,Very important,18-29
Under 25K,31.2052536568774,13,40.0,Male,High school,A little dissatisfied,One of most important,30-39
Under 25K,31.34720968299451,13,58.95837095101647,Male,High school,Mod satisfied,Somewhat important,30-39
Under 25K,24.635058873603565,12,51.824705631982184,Female,High school,Very satisfied,Very important,18-29
Under 25K,35.98589870303366,12,19.943594812134652,Male,High school,Mod satisfied,One of most important,40-49
Under 25K,41.67259868224586,12,48.83629934112293,Female,High school,Mod satisfied,Very important,40-49
Under 25K,44.92815705886816,10,40.0,Female,Bachelor,Mod satisfied,One of most important,40-49
Under 25K,42.424092506865236,12,41.05060499542317,Female,High school,Mod satisfied,Somewhat important,40-49
Under 25K,34.870530303395604,12,40.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,23.0,16,51.69003807419446,Female,Bachelor,Very satisfied,Very important,18-29
